GENDER;INTERNET;TV;COMPUTER;WASHING_MCH;MIC_OVEN;CAR;DVD;FRESH;PHONE;MOBILE;SCHOOL_NAT;SCHOOL_TYPE;MAT_S11;CR_S11;CC_S11;BIO_S11;ENG_S11;ACADEMIC_PROGRAM;QR_PRO;CR_PRO;CC_PRO;ENG_PRO;WC_PRO;FEP_PRO;G_SC;PERCENTILE;2ND_DECILE;QUARTILE;SEL;SEL_IHE
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;83;62;66;72;82;ELECTRONIC ENGINEERING;92;96;95;95;78;168;193;97;5;4;3;2
M;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;80;62;71;81;88;ELECTRONIC ENGINEERING;97;93;100;97;46;183;194;97;5;4;2;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;83;75;68;81;85;INDUSTRIAL ENGINEERING;95;19;5;96;63;91;154;63;4;3;4;4
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;63;60;59;75;80;INDUSTRIAL ENGINEERING;93;71;90;88;11;185;170;82;5;4;4;2
M;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;PRIVATE;TECHNICAL;47;36;41;44;40;MECHANICAL ENGINEERING;71;7;56;22;43;137;137;35;2;2;2;3
M;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PRIVATE;TECHNICAL;65;62;59;66;54;INDUSTRIAL ENGINEERING;81;55;78;59;77;157;165;77;4;4;2;3
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;56;51;39;60;55;INDUSTRIAL ENGINEERING;57;5;15;73;78;85;139;39;2;2;4;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;69;60;76;71;92;INDUSTRIAL ENGINEERING;90;90;86;100;67;206;189;96;5;4;4;2
M;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;No;PRIVATE;ACADEMIC;67;81;56;73;78;INDUSTRIAL ENGINEERING;79;95;9;72;88;200;165;77;4;4;2;2
F;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PRIVATE;TECHNICAL;65;51;45;63;55;INDUSTRIAL ENGINEERING;75;71;92;69;99;162;181;92;5;4;4;3
M;No;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;PRIVATE;TECHNICAL;54;49;42;55;40;CIVIL ENGINEERING;77;29;65;51;71;138;154;63;4;3;4;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;TECHNICAL;69;63;58;61;50;ELECTRONIC ENGINEERING;99;77;27;68;8;167;155;64;4;3;2;2
F;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;PRIVATE;TECHNICAL;63;62;57;56;64;INDUSTRIAL ENGINEERING;90;78;82;47;82;120;171;84;5;4;2;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;64;65;61;64;78;MECHANICAL ENGINEERING;98;87;87;95;96;161;196;98;5;4;4;3
F;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PRIVATE;TECHNICAL;60;60;59;67;70;INDUSTRIAL ENGINEERING;83;85;63;65;62;188;166;79;4;4;3;3
M;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;80;75;61;81;96;ELECTRONIC ENGINEERING;97;97;96;100;82;172;202;99;5;4;3;2
M;No;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;PRIVATE;TECHNICAL;69;67;78;100;62;CHEMICAL ENGINEERING;97;96;100;49;59;187;185;94;5;4;4;2
M;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;60;60;61;61;59;INDUSTRIAL ENGINEERING;84;79;73;91;87;174;179;90;5;4;2;3
M;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;65;47;29;56;54;CIVIL ENGINEERING;83;48;41;66;34;119;151;58;3;3;4;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;74;81;61;75;82;INDUSTRIAL ENGINEERING;88;85;84;98;63;124;183;93;5;4;4;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;60;60;65;70;75;ELECTRIC ENGINEERING;92;89;87;90;14;186;174;87;5;4;2;2
M;Yes;No;Yes;Yes;No;No;No;Yes;Yes;No;PRIVATE;ACADEMIC;74;62;56;64;73;INDUSTRIAL ENGINEERING;99;29;26;90;7;102;152;60;4;3;2;2
M;Yes;No;Yes;Yes;No;No;No;Yes;Yes;No;PRIVATE;TECHNICAL/ACADEMIC;69;62;68;73;46;ELECTRIC ENGINEERING AND TELECOMMUNICATIONS;82;97;64;77;64;162;174;87;5;4;2;3
M;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;65;51;51;61;53;ELECTRONIC ENGINEERING;94;80;69;68;33;165;167;79;4;4;4;2
M;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;67;67;68;58;75;ELECTRIC ENGINEERING;78;75;78;85;27;169;167;79;4;4;2;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;PRIVATE;ACADEMIC;67;58;59;58;78;INDUSTRIAL ENGINEERING;83;53;3;86;42;139;148;54;3;3;4;2
F;No;No;No;Yes;No;No;No;Yes;Yes;Yes;PRIVATE;ACADEMIC;77;81;68;66;73;CIVIL ENGINEERING;100;59;80;77;51;157;174;86;5;4;2;2
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;67;58;56;61;49;INDUSTRIAL ENGINEERING;40;13;77;85;41;138;150;56;3;3;4;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;72;75;68;70;71;INDUSTRIAL ENGINEERING;89;81;99;97;75;146;192;97;5;4;4;4
F;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;54;55;59;58;55;CIVIL ENGINEERING;75;93;86;50;2;170;156;65;4;3;2;2
F;No;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;61;67;57;63;44;INDUSTRIAL ENGINEERING;97;77;88;75;62;165;178;89;5;4;2;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;71;63;56;72;88;INDUSTRIAL ENGINEERING;98;83;60;100;79;193;187;95;5;4;4;4
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;72;49;59;63;92;CIVIL ENGINEERING;96;45;42;97;76;169;172;85;5;4;4;4
